CN      南明     |~BADKEY~                                            
CN526020端州     |~BADKEY~                                            
CN716000宝塔     |~BADKEY~                                            
CN      商城     |~BADKEY~                                            
CN      宣武     |~BADKEY~                                            
CN      平安     |~BADKEY~                                            
CN      松岗     |~BADKEY~                                            
CN      闵行     |~BADKEY~                                            
CN052360辛集     |~BADKEY~                                            
CN101400怀柔     |~BADKEY~                                            
CN116085甘井     |~BADKEY~                                            
CN201100闵行     |~BADKEY~                                            
CN201306浦东     |~BADKEY~                                            
CN250004市中     |~BADKEY~                                            
CN300480汉沽     |~BADKEY~                                            
CN430000武昌     |~BADKEY~                                            
CN450003金水     |~BADKEY~                                            
CN510540白云     |~BADKEY~                                            
CN510850花都     |~BADKEY~                                            
CN714000临渭     |~BADKEY~                                            
CN071000北市     |~BADKEY~                                            
CN100055丰台     |~BADKEY~                                            
CN100621朝阳     |~BADKEY~                                            
CN215006姑苏     |~BADKEY~                                            
CN232001田家     |~BADKEY~                                            
CN300122红桥     |~BADKEY~                                            
CN300160河东     |~BADKEY~                                            
CN315020江北     |~BADKEY~                                            
CN315041江东     |~BADKEY~                                            
CN315600宁海     |~BADKEY~                                            
CN350001晋安     |~BADKEY~                                            
CN418000鹤城     |~BADKEY~                                            
CN450011金水     |~BADKEY~                                            
CN450053金水     |~BADKEY~                                            
CN528231南海     |~BADKEY~                                            
CN625000雨城     |~BADKEY~                                            
CN710065雁塔     |~BADKEY~                                            
CN      城关     |~BADKEY~                                            
CN      大渡     |~BADKEY~                                            
CN      江苏     |~BADKEY~                                            
CN      滨海     |~BADKEY~                                            
CN      火炬     |~BADKEY~                                            
CN      秀英     |~BADKEY~                                            
CN      西市     |~BADKEY~                                            
CN      西康     |~BADKEY~                                            
CN071000河北     |~BADKEY~                                            
CN100032西城     |~BADKEY~                                            
CN100061东城     |~BADKEY~                                            
CN200065普陀     |~BADKEY~                                            
CN215006沧浪     |~BADKEY~                                            
CN300042河西     |~BADKEY~                                            
CN300134北辰     |~BADKEY~                                            
CN430072洪山     |~BADKEY~                                            
CN457000华龙     |~BADKEY~                                            
CN518026福田     |~BADKEY~                                            
CN523570常平     |~BADKEY~                                            
CN523843长安     |~BADKEY~                                            
CN528203南海     |~BADKEY~                                            
CN528299南海     |~BADKEY~                                            
CN570206龙华     |~BADKEY~                                            
CN014040东河     |~BADKEY~                                            
CN110014沈河     |~BADKEY~                                            
CN210018玄武     |~BADKEY~                                            
CN213016钟楼     |~BADKEY~                                            
CN245000屯溪     |~BADKEY~                                            
CN253000德城     |~BADKEY~                                            
CN300040和平     |~BADKEY~                                            
CN310051滨江     |~BADKEY~                                            
CN330096青山     |~BADKEY~                                            
CN350008仓山     |~BADKEY~                                            
CN450002金水     |~BADKEY~                                            
CN510000       |~BADKEY~                                                
CN510510白云     |~BADKEY~                                            
CN523013东城     |~BADKEY~                                            
CN      南华     |~BADKEY~                                            
CN100164丰台     |~BADKEY~                                            
CN101200平谷     |~BADKEY~                                            
CN201107闵行     |~BADKEY~                                            
CN201501金山     |~BADKEY~                                            
CN201611松江     |~BADKEY~                                            
CN230041庐阳     |~BADKEY~                                            
CN300011河东     |~BADKEY~                                            
CN311100余杭     |~BADKEY~                                            
CN430011江岸     |~BADKEY~                                            
CN510800花都     |~BADKEY~                                            
CN518056南山     |~BADKEY~                                            
CN523265高步     |~BADKEY~                                            
CN528061禅城     |~BADKEY~                                            
CN545005鱼峰     |~BADKEY~                                            
CN      不愿     |~BADKEY~                                            
CN      广西     |~BADKEY~                                            
CN      桃园     |~BADKEY~                                            
CN      海南     |~BADKEY~                                            
CN150028松北     |~BADKEY~                                            
CN211399奉贤     |~BADKEY~                                            
CN215129虎丘     |~BADKEY~                                            
CN230031蜀山     |~BADKEY~                                            
CN300012河东     |~BADKEY~                                            
CN300204河西     |~BADKEY~                                            
CN350005鼓楼     |~BADKEY~                                            
CN361199同安     |~BADKEY~                                            
CN410005开福     |~BADKEY~                                            
CN510000广东     |~BADKEY~                                            
CN510230海珠     |~BADKEY~                                            
CN511363萝岗     |~BADKEY~                                            
CN518000南山     |~BADKEY~                                            
CN518023罗湖     |~BADKEY~                                            
CN529341开平     |~BADKEY~                                            
CN      三路     |~BADKEY~                                            
CN      兴隆     |~BADKEY~                                            
CN      北四     |~BADKEY~                                            
CN      回龙     |~BADKEY~                                            
CN      市中     |~BADKEY~                                            
CN      桂林     |~BADKEY~                                            
CN      江汉     |~BADKEY~                                            
CN111003宏伟     |~BADKEY~                                            
CN130015朝阳     |~BADKEY~                                            
CN200237徐汇     |~BADKEY~                                            
CN200433杨浦     |~BADKEY~                                            
CN201104闵行     |~BADKEY~                                            
CN201807嘉定     |~BADKEY~                                            
CN225200江都     |~BADKEY~                                            
CN300308东丽     |~BADKEY~                                            
CN410011芙蓉     |~BADKEY~                                            
CN450008金水     |~BADKEY~                                            
CN510890花都     |~BADKEY~                                            
CN      东门     |~BADKEY~                                            
CN      丰泽     |~BADKEY~                                            
CN      双流     |~BADKEY~                                            
CN      宜兴     |~BADKEY~                                            
CN      温州     |~BADKEY~                                            
CN      龙岗     |~BADKEY~                                            
CN100062东城     |~BADKEY~                                            
CN101312顺义     |~BADKEY~                                            
CN110000铁西     |~BADKEY~                                            
CN200001黄浦     |~BADKEY~                                            
CN200052长宁     |~BADKEY~                                            
CN200080虹口     |~BADKEY~                                            
CN200941宝山     |~BADKEY~                                            
CN210004白下     |~BADKEY~                                            
CN300142河北     |~BADKEY~                                            
CN404500云阳     |~BADKEY~                                            
CN430000武汉     |~BADKEY~                                            
CN450012金水     |~BADKEY~                                            
CN510730萝岗     |~BADKEY~                                            
CN511500清城     |~BADKEY~                                            
CN515041龙湖     |~BADKEY~                                            
CN570311秀英     |~BADKEY~                                            
CN637000顺庆     |~BADKEY~                                            
CN830000沙依     |~BADKEY~                                            
CN      城阳     |~BADKEY~                                            
CN100009西城     |~BADKEY~                                            
CN100031西城     |~BADKEY~                                            
CN100107朝阳     |~BADKEY~                                            
CN101399顺义     |~BADKEY~                                            
CN210008鼓楼     |~BADKEY~                                            
CN210038栖霞     |~BADKEY~                                            
CN250002市中     |~BADKEY~                                            
CN266102崂山     |~BADKEY~                                            
CN300113南开     |~BADKEY~                                            
CN301700武清     |~BADKEY~                                            
CN350028仓山     |~BADKEY~                                            
CN510160荔湾     |~BADKEY~                                            
CN510610天河     |~BADKEY~                                            
CN518019罗湖     |~BADKEY~                                            
CN635013达县     |~BADKEY~                                            
CN      宁夏     |~BADKEY~                                            
CN      民主     |~BADKEY~                                            
CN110092大东     |~BADKEY~                                            
CN130051宽城     |~BADKEY~                                            
CN201208浦东     |~BADKEY~                                            
CN201803嘉定     |~BADKEY~                                            
CN210004秦淮     |~BADKEY~                                            
CN213000       |~BADKEY~                                                
CN213022新北     |~BADKEY~                                            
CN215332昆山     |~BADKEY~                                            
CN250011历下     |~BADKEY~                                            
CN301600静海     |~BADKEY~                                            
CN310008上城     |~BADKEY~                                            
CN310011拱墅     |~BADKEY~                                            
CN350005台江     |~BADKEY~                                            
CN528000禅城     |~BADKEY~                                            
CN528251南海     |~BADKEY~                                            
CN530029青秀     |~BADKEY~                                            
CN      库尔     |~BADKEY~                                            
CN100041石景     |~BADKEY~                                            
CN116023沙河     |~BADKEY~                                            
CN215004金阊     |~BADKEY~                                            
CN266108城阳     |~BADKEY~                                            
CN315000       |~BADKEY~                                                
CN325600乐清     |~BADKEY~                                            
CN400012渝中     |~BADKEY~                                            
CN410001芙蓉     |~BADKEY~                                            
CN430324黄陂     |~BADKEY~                                            
CN450052二七     |~BADKEY~                                            
CN511431番禺     |~BADKEY~                                            
CN515899澄海     |~BADKEY~                                            
CN610094武侯     |~BADKEY~                                            
CN730070安宁     |~BADKEY~                                            
CN      吉祥     |~BADKEY~                                            
CN      浦江     |~BADKEY~                                            
CN      田林     |~BADKEY~                                            
CN      西直     |~BADKEY~                                            
CN102628大兴     |~BADKEY~                                            
CN132001昌邑     |~BADKEY~                                            
CN200042长宁     |~BADKEY~                                            
CN350001台江     |~BADKEY~                                            
CN410012岳麓     |~BADKEY~                                            
CN430065武昌     |~BADKEY~                                            
CN526200四会     |~BADKEY~                                            
CN529020蓬江     |~BADKEY~                                            
CN      中江     |~BADKEY~                                            
CN      振兴     |~BADKEY~                                            
CN      无锡     |~BADKEY~                                            
CN074099高碑     |~BADKEY~                                            
CN210039雨花     |~BADKEY~                                            
CN250101历城     |~BADKEY~                                            
CN300221河西     |~BADKEY~                                            
CN330008东湖     |~BADKEY~                                            
CN361006湖里     |~BADKEY~                                            
CN511442番禺     |~BADKEY~                                            
CN523125东城     |~BADKEY~                                            
CN610072青羊     |~BADKEY~                                            
CN650118西山     |~BADKEY~                                            
CN710002莲湖     |~BADKEY~                                            
CN      漕宝     |~BADKEY~                                            
CN      西安     |~BADKEY~                                            
CN      鹿城     |~BADKEY~                                            
CN074000高碑     |~BADKEY~                                            
CN100023朝阳     |~BADKEY~                                            
CN102100延庆     |~BADKEY~                                            
CN110005和平     |~BADKEY~                                            
CN200060普陀     |~BADKEY~                                            
CN210002白下     |~BADKEY~                                            
CN210008玄武     |~BADKEY~                                            
CN264199牟平     |~BADKEY~                                            
CN300100南开     |~BADKEY~                                            
CN310016江干     |~BADKEY~                                            
CN361100同安     |~BADKEY~                                            
CN430062武昌     |~BADKEY~                                            
CN518125宝安     |~BADKEY~                                            
CN570102龙华     |~BADKEY~                                            
CN      上街     |~BADKEY~                                            
CN      临海     |~BADKEY~                                            
CN      新会     |~BADKEY~                                            
CN      黄河     |~BADKEY~                                            
CN030012迎泽     |~BADKEY~                                            
CN100037西城     |~BADKEY~                                            
CN100062崇文     |~BADKEY~                                            
CN150007南岗     |~BADKEY~                                            
CN200124浦东     |~BADKEY~                                            
CN201102闵行     |~BADKEY~                                            
CN201206浦东     |~BADKEY~                                            
CN201806嘉定     |~BADKEY~                                            
CN201907宝山     |~BADKEY~                                            
CN215011虎丘     |~BADKEY~                                            
CN266299即墨     |~BADKEY~                                            
CN315016海曙     |~BADKEY~                                            
CN325105永嘉     |~BADKEY~                                            
CN400015渝中     |~BADKEY~                                            
CN402160永川     |~BADKEY~                                            
CN430073洪山     |~BADKEY~                                            
CN510289海珠     |~BADKEY~                                            
CN510423白云     |~BADKEY~                                            
CN518118龙岗     |~BADKEY~                                            
CN523500企石     |~BADKEY~                                            
CN710000陕西     |~BADKEY~                                            
CN710061长安     |~BADKEY~                                            
CN      塘沽     |~BADKEY~                                            
CN      大石     |~BADKEY~                                            
CN      新市     |~BADKEY~                                            
CN      普陀     |~BADKEY~                                            
CN      龙山     |~BADKEY~                                            
CN      ¸£     |~BADKEY~                                              
CN061699东光     |~BADKEY~                                            
CN100034西城     |~BADKEY~                                            
CN100084海淀     |~BADKEY~                                            
CN116011西岗     |~BADKEY~                                            
CN200063普陀     |~BADKEY~                                            
CN214071滨湖     |~BADKEY~                                            
CN264001芝罘     |~BADKEY~                                            
CN300401北辰     |~BADKEY~                                            
CN330699靖安     |~BADKEY~                                            
CN350014晋安     |~BADKEY~                                            
CN361003思明     |~BADKEY~                                            
CN528399顺德     |~BADKEY~                                            
CN530001西乡     |~BADKEY~                                            
CN644000翠屏     |~BADKEY~                                            
                                                                        
CN      东陵     |~BADKEY~                                            
CN      新建     |~BADKEY~                                            
CN      沿江     |~BADKEY~                                            
CN      集美     |~BADKEY~                                            
CN100096海淀     |~BADKEY~                                            
CN102218昌平     |~BADKEY~                                            
CN130117二道     |~BADKEY~                                            
CN150080南岗     |~BADKEY~                                            
CN200025黄浦     |~BADKEY~                                            
CN201199闵行     |~BADKEY~                                            
CN210016玄武     |~BADKEY~                                            
CN215002沧浪     |~BADKEY~                                            
CN225300海陵     |~BADKEY~                                            
CN266003市南     |~BADKEY~                                            
CN266035市北     |~BADKEY~                                            
CN300000河西     |~BADKEY~                                            
CN311200萧山     |~BADKEY~                                            
CN313199长兴     |~BADKEY~                                            
CN330600靖安     |~BADKEY~                                            
CN350702永泰     |~BADKEY~                                            
CN510060越秀     |~BADKEY~                                            
CN528200南海     |~BADKEY~                                            
CN570105龙华     |~BADKEY~                                            
CN710048碑林     |~BADKEY~                                            
